Timestamp,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
37766,-0.79,1.95,-0.37,-0.4,0.15,-0.94,28.81,43.81,-61.07
37798,-0.79,2.01,-0.37,-0.4,0.15,-0.93,27.91,43.96,-60.47
37827,-0.79,1.95,-0.37,-0.38,0.15,-0.94,28.06,43.06,-60.62
37855,-0.79,1.95,-0.43,-0.39,0.14,-0.93,29.41,43.21,-62.27
37884,-0.73,1.95,-0.37,-0.4,0.15,-0.94,28.96,43.51,-60.17
37912,-0.79,1.89,-0.43,-0.39,0.15,-0.94,27.91,43.96,-60.17
37941,-0.79,2.01,-0.37,-0.38,0.15,-0.93,29.11,42.31,-60.32
37969,-0.79,1.83,-0.43,-0.39,0.15,-0.94,26.86,43.21,-58.66
37998,-0.73,2.07,-0.37,-0.39,0.15,-0.95,27.31,44.11,-60.32
38030,-0.73,1.95,-0.37,-0.39,0.14,-0.94,28.51,43.81,-60.02
38058,-0.79,2.07,-0.43,-0.38,0.14,-0.93,29.11,44.86,-59.26
38087,-0.79,1.95,-0.43,-0.39,0.15,-0.95,27.76,42.61,-59.56
38115,-0.79,1.95,-0.43,-0.39,0.15,-0.94,28.96,43.51,-60.17
38144,-0.73,1.95,-0.43,-0.4,0.14,-0.94,28.51,44.11,-60.62
38172,-0.79,2.07,-0.37,-0.39,0.15,-0.93,27.16,44.26,-59.71
38201,-0.79,1.95,-0.43,-0.38,0.15,-0.94,29.11,42.61,-61.07
38233,-0.79,1.95,-0.37,-0.39,0.15,-0.94,27.01,43.06,-59.56
38261,-0.79,1.95,-0.43,-0.4,0.15,-0.94,28.66,42.91,-61.22
38290,-0.73,1.95,-0.49,-0.4,0.15,-0.94,27.01,44.86,-60.32
38318,-0.79,1.95,-0.49,-0.39,0.15,-0.95,30.61,43.36,-59.26
38347,-0.79,1.95,-0.37,-0.39,0.15,-0.94,28.21,43.96,-61.22
38375,-0.79,1.95,-0.43,-0.38,0.15,-0.93,27.91,43.51,-59.41
38404,-0.79,1.89,-0.37,-0.39,0.16,-0.94,28.66,43.96,-60.47
38432,-0.79,1.95,-0.37,-0.38,0.15,-0.95,28.51,43.36,-59.56
38464,-0.79,1.95,-0.37,-0.39,0.15,-0.94,26.71,43.81,-59.56
38492,-0.79,1.95,-0.37,-0.39,0.15,-0.94,28.66,43.21,-59.71
38521,-0.73,1.95,-0.37,-0.39,0.16,-0.96,28.51,44.11,-59.56
38549,-0.73,1.95,-0.49,-0.39,0.15,-0.93,27.91,43.96,-59.71
38578,-0.73,2.01,-0.43,-0.4,0.14,-0.93,27.76,43.81,-59.56
38607,-0.79,2.07,-0.43,-0.39,0.15,-0.95,27.91,43.21,-60.17
38635,-0.73,1.95,-0.49,-0.39,0.16,-0.95,28.66,44.71,-59.41
38667,-0.73,1.89,-0.49,-0.39,0.14,-0.94,29.41,43.21,-60.47
38696,-0.79,2.07,-0.49,-0.39,0.15,-0.94,27.16,43.21,-58.66
38724,-0.73,1.83,-0.43,-0.39,0.15,-0.93,28.66,42.46,-59.11
38753,-0.85,2.01,-0.37,-0.39,0.16,-0.95,28.66,42.46,-60.47
38781,-0.79,1.89,-0.37,-0.38,0.16,-0.94,27.61,43.21,-59.71
